"RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","NETRAD","energy_closure","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","P","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","G_plate_1_1_1","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","T_nr","R_LW_in_meas","R_LW_out_meas"
1752,-0.1919945,9,18000,-7.911932,9,18000,6.913736,9,18000,NA,1,-0.8738366,0.008049431,8,0.0760201,-0.06503427,0.1818148,19.1825,46.68845,7.452951,1.039501,2.23309,20.00346,44.73942,7.493544,1.042197,2.353507,-54.76615,0.3159677,-104.2852,1.166465e-05,0.003695322,0.00011574,87.29823,13.1131,-0.412193,0.2856381,-0.5166568,0.5261112,-0.01612827,0.07243887,21.12283,1.187009,249,0.8390949,0.6609364,231.4168,37.32354,17.58316,2.02073,842.7773,47.89344,7.705432,0.5509031,0.9145277,0.8860106,0,0,NA,NA,NA,NA,39.14663,-17.70993,-139.9225,20.89133,NA,0,20.14565,10.83649,6.309158,60.84711,16.02066,11.12761,95.67381,94.39027,NA,NA,NA
1753,0.5866809,8,18000,25.44661,8,18000,-21.00984,8,18000,NA,1,-0.8256438,0.01139411,3,0.09039566,0.1660183,0.1571577,19.59469,41.28471,5.953234,0.94083,2.291268,20.66101,39.33135,6.00464,0.9437706,2.460305,-54.94284,0.3149925,-104.3522,1.139355e-05,0.003616999,0.0001131392,87.32351,15.16534,0.2008384,0.3978277,-0.4420528,0.3915146,0.01515317,0.05258129,21.67576,1.841146,249,0.6540778,0.4855379,294.4338,41.11702,314.5662,1.742004,810.0515,66.03163,6.965106,0.7760625,0.917783,0.8896545,0,0,NA,NA,NA,NA,45.26958,-13.91021,-132.4224,20.88767,NA,0,20.15346,10.35817,2.381205,84.64571,10.46818,6.648102,95.67381,90.90387,NA,NA,NA
1754,-0.3490286,9,18000,-1.681317,9,18000,4.070447,9,18000,NA,1,-2.420988,0.00995866,9,0.08448033,-0.03439244,0.1141707,19.53408,39.00243,5.169992,0.8877368,2.281061,20.31035,37.38819,5.207795,0.8900062,2.396961,-55.02835,0.3164391,-104.3854,1.133427e-05,0.003580002,0.0001125927,87.35049,15.06955,0.6122087,0.2669582,-0.1067521,0.3932162,0.04350989,0.04955574,21.26605,1.025589,249,0.75282,0.6214486,350.1087,33.83685,258.8913,1.520047,785.1193,43.99232,6.572743,0.4394356,0.9196756,0.8913929,0,0,NA,NA,NA,NA,50.99548,-9.694205,-124.9228,20.88391,NA,0,20.14412,9.850694,5.113429,61.36557,14.29712,9.666279,95.67381,94.02105,NA,NA,NA
1755,-0.5225738,8,18000,-11.04519,8,18000,14.47104,8,18000,NA,1,-1.310167,0.009291469,8,0.08166789,-0.1266873,0.08006102,19.86796,37.72137,4.97962,0.8762046,2.329648,20.66169,36.22986,5.01795,0.8783866,2.451473,-54.60414,0.3164264,-104.0605,1.189775e-05,0.003771543,0.0001179657,87.37749,15.73086,0.4966004,0.2756273,-0.7374309,0.2837438,0.01537674,0.06034144,21.60557,1.226281,249,0.9549973,0.8890533,303.957,21.2849,305.043,1.760581,764.0023,44.53477,6.479973,0.4503752,0.9203475,0.8924401,0,0,NA,NA,NA,NA,56.36891,-5.112869,-117.4235,20.88009,NA,0,20.13722,9.315857,8.050159,67.23181,19.08639,13.55147,95.67381,93.83614,NA,NA,NA
1756,0.7472019,7,18000,17.21371,7,18000,-24.44427,7,18000,NA,1,-1.420046,0.01656281,7,0.1095997,0.1611086,0.160602,18.4841,45.66084,6.538091,0.9750189,2.135584,19.10266,44.15563,6.568623,0.9769808,2.221975,-52.27201,0.3141524,-102.8316,1.554791e-05,0.004977367,0.000152526,87.40584,12.44995,-0.5296404,0.4554498,-0.909748,0.3187579,-0.03278993,0.1102857,20.14724,0.7504887,249,1.144354,1.052693,239.7928,22.92438,9.207245,2.264269,831.3306,26.38441,7.244473,0.3234097,0.9160256,0.8876177,0,0,NA,NA,NA,NA,61.44536,-0.05502202,-109.9237,20.87639,34.35336,0.4388889,20.13999,8.778723,6.322365,244.5327,28.53141,17.31261,95.67381,80.04877,NA,NA,NA
1757,0.1808153,5,18000,9.015151,5,18000,-17.13942,5,18000,NA,1,-1.90118,0.007440732,7,0.07359523,0.1688482,0.1392457,17.99514,47.48848,6.668272,0.9833146,2.07134,18.4911,46.16666,6.692912,0.9849433,2.137554,-51.39,0.3138326,-102.4585,1.736867e-05,0.005511584,0.0001696521,87.43256,11.52611,-0.3096293,0.3418666,-0.7378328,0.3939163,-0.01482855,0.08030348,19.5418,0.5461322,249,0.9162005,0.8001671,247.2348,28.82579,1.765198,2.100716,817.4211,11.11563,7.318343,0.2117795,0.9158295,0.8875785,0,0,NA,NA,NA,NA,66.28566,4.889596,-102.4239,20.87266,9.596433,0.8333333,20.1262,8.301195,8.102317,380.7104,39.67207,23.34818,95.67381,74.09023,NA,NA,NA
1758,0.1035738,5,18000,13.82543,5,18000,-15.51092,5,18000,NA,1,-1.121912,0.01837588,3,0.1151869,0.09684096,0.08287057,18.31621,49.41821,7.540308,1.044572,2.113512,18.91519,47.75941,7.570242,1.046655,2.194718,-53.14191,0.3125669,-103.3996,1.402136e-05,0.004485356,0.0001380838,87.44922,11.48063,-0.5590877,0.3120289,-0.6741877,0.2408173,-0.02873962,0.1019124,20.03348,0.4747087,249,0.9122832,0.8758454,230.3319,16.18812,18.66815,2.162397,792.7361,10.11008,7.765514,0.3667726,0.9143072,0.8818166,0,0,NA,NA,NA,NA,70.95515,10.0758,-94.92442,20.86884,4.884815,0.8333333,20.08792,7.81768,4.469552,138.1947,18.50912,11.57999,95.67381,86.58997,NA,NA,NA
1759,-0.4985891,9,18000,63.00737,9,18000,7.405955,9,18000,NA,1,0.1175411,0.01254027,7,0.09540763,-0.05612076,0.108551,22.6749,45.44363,10.1928,1.25318,2.783324,21.94379,47.32212,10.15578,1.249961,2.654704,-51.92177,0.3147233,-102.8731,1.623733e-05,0.00517244,0.000159047,87.46969,14.04743,-0.3733599,0.2729264,-0.09351629,0.3690023,-0.009146368,0.08031479,23.29449,1.575424,249,0.5257937,0.3848919,194.0617,41.93104,54.93832,1.449965,722.0584,31.72752,9.176985,0.8301728,0.9170825,0.8889911,0,0,NA,NA,NA,NA,75.52381,15.45785,-87.42496,20.86505,3.230047,0.8333333,19.83603,7.322124,1.872161,21.1384,5.557303,3.457759,95.67381,98.46809,NA,NA,NA
1760,-0.187422,8,18000,26.28813,8,18000,-2.462529,8,18000,NA,1,-0.09367455,0.01390363,7,0.1016109,0.01792501,0.1245083,24.89077,43.97638,11.67881,1.383721,3.165385,23.74956,46.83864,11.62085,1.378419,2.951844,-46.76285,0.321924,-100.0187,3.026313e-05,0.009518391,0.0002891924,87.486,15.73425,-0.5605356,0.2334874,-0.196194,0.4316395,-0.02808815,0.09048454,25.24844,0.4295455,249,0.7051568,0.5938794,199.2907,32.17701,49.70935,1.928557,657.2328,18.31861,10.06135,0.9498016,0.915141,0.8872547,0,0,NA,NA,NA,NA,80.09583,20.99948,-79.87994,20.86136,2.407554,0.85,19.74245,6.817955,3.310581,66.95204,11.52171,7.448723,95.67381,92.83855,NA,NA,NA
1761,-1.274634,8,18000,224.4833,8,18000,-2.445938,8,18000,NA,1,-0.01089586,0.01466142,3,0.105865,0.01759088,0.1917576,27.05491,41.23417,12.65673,1.480489,3.595071,25.12253,45.97711,12.55811,1.470771,3.204062,-40.06963,0.3241982,-96.41754,6.278299e-05,0.01938153,0.0005826473,87.50264,17.33292,0.03387509,0.3987931,0.3827555,0.4544279,-0.008132117,0.1340695,26.72981,0.350123,249,0.6094462,0.3842506,84.94225,49.23765,164.0577,2.178238,622.2905,21.8453,10.68544,1.361799,0.9173381,0.8879068,0,0,NA,NA,NA,NA,84.67531,26.55621,-72.42638,20.85755,1.93119,0.9944444,19.64731,6.354478,1.569997,19.18144,4.96824,2.974001,95.67381,98.53991,NA,NA,NA
