SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
80,A,Treated,-0.54,1.0442,1.0442,20.0701,11.7173,78.3,0.336,9.114,27.1285,21.1592,24.1931,24.0596,4.4,7.594,2.662,,2.662,5.1046,0.2297,51.63
1,B,Native,-0.13,1.0453,,5.791,2.3208,272.1,1.917,25.276,13.1855,18.197,21.2026,20.1199,36,7.669,0.7868,1:10,3.934,8.3929,0.7398,38.47
2,B,Untreated,-0.25,1.0434,,3.797,3.1288,32,0.567,16.908,29.836,21.167,24.2432,23.9923,8.2,7.905,1.015,,1.015,3.9691,2.8084,27.82
3,B,Native,-0.85,1.0511,,6.4691,4.8099,44.1,0.249,4.56,18.2775,21.1125,24.3263,24.2129,3.5,7.971,5.076,,5.076,2.6818,0.7058,8.4
4,B,Untreated,-0.12,1.0524,,5.1247,3.7294,52.1,0.628,10.48,16.685,20.885,23.8629,23.5514,10.5,7.923,1.044,,1.044,6.1769,6.0105,27.55
5,B,Native,-1.07,1.0465,,3.5493,2.6406,57,1.431,26.952,18.8303,20.7043,23.7054,22.9384,25.6,7.729,1.101,1:10,5.505,2.0284,25.2627,29.38
6,B,Native,-0.35,1.0525,,3.616,1.5967,371.1,2.438,32.804,13.4564,27.4543,29.8699,28.8996,40.2,7.582,1.824,1:10,9.12,3.6466,20.8308,35.37
7,B,Untreated,-0.25,1.0444,,6.0545,3.9262,73.9,0.38,13.052,34.3439,20.0333,23.0246,22.858,5.6,8.352,2.832,,2.832,2.8506,0.1582,20.49
8,B,Native,-0.35,1.0495,,5.6095,2.6046,193.2,1.599,26.992,16.8788,20.0636,23.0674,21.9883,35.9,7.636,1.188,1:10,5.94,9.6759,3.2524,42.35
9,B,Treated,-0.1,1.0619,,9.9073,3.7171,233.1,1.789,23.808,13.3075,18.8828,21.8893,21.0394,28.3,7.793,0.5252,1:10,2.626,12.039,6.7369,51.91
10,B,Native,-0.1,1.0619,,9.9073,3.8908,212.7,1.608,23.735,14.763,20.4855,23.4897,22.6856,26.8,7.792,0.6611,1:10,3.306,8.4019,5.8766,58.04
11,B,Treated,0.21,1.0562,,6.226,2.4845,262,2.36,31.466,13.3349,21.2547,23.2219,22.2893,47.4,7.522,0.8266,1:10,4.133,10.7215,4.7476,73.55
12,B,Native,0.03,1.0594,,10.9126,3.1693,367,1.772,28.317,15.9837,21.5007,24.5022,23.4209,36,7.567,0.7046,1:10,3.523,6.9362,0.0626,69.28
13,B,Native,-0.06,1.0591,,9.2539,2.8913,347.3,1.761,31.714,18.0133,17.2817,20.2855,19.2733,33.7,7.55,0.773,1:10,3.865,4.9586,1.562,79.35
14,B,Treated,-0.31,1.0577,,6.5974,2.6623,245.2,1.982,30.174,15.2271,19.8778,22.8813,21.7807,36.6,7.622,0.7938,1:10,3.969,3.3544,4.1051,67.74
15,B,Treated,-0.24,1.0563,,6.9539,3.5903,132.7,0.767,17.638,23.0008,22.0911,25.2775,24.6717,19,7.439,1.914,,1.914,5.79,0.0882,42.83
16,B,Untreated,-0.76,1.0593,,4.2515,2.9597,68,1.998,27.137,13.5807,21.2419,24.2807,23.2448,34.1,7.581,0.3402,1:10,1.701,7.383,39.8458,44.77
17,B,Treated,-0.28,1.0552,,5.2558,3.8126,52.3,0.365,10.341,28.2933,26.8053,30.0362,29.8628,5.4,7.309,0.6445,,0.6445,5.2591,1.7224,34.24
18,B,Native,-0.25,1.0565,,6.3517,2.7145,219.4,0.661,11.338,17.1415,18.2283,21.3227,20.8255,16.1,6.625,2.007,,2.007,5.5621,0.0843,39.02
19,B,Treated,-0.55,1.0495,,5.974,4.5865,39.2,0.136,5.703,42.0639,19.0621,22.2587,22.1858,2.3,8.427,1.528,,1.528,1.3812,0.0585,20.17
20,B,Native,-0.45,1.0445,,8.1205,2.6543,339.6,0.659,13.023,19.7765,21.6426,24.4323,24.0405,14,7.659,14.26,,14.26,5.7058,0.0787,89.72
21,B,Native,-0.59,1.0533,,6.6968,2.1558,411.9,0.909,15.721,17.2918,20.7511,23.6401,23.1777,16,7.702,15.55,,15.55,6.8294,0.0785,67.55
22,B,Treated,-1.11,1.0311,,7.1553,3.7179,127.9,0.536,9.274,17.3063,21.0132,24.3102,24.0339,8.4,8.276,8.147,,8.147,3.3175,0.0677,101.49
23,B,Treated,-3.52,1.0404,,5.481,3.038,122.3,0.876,12.029,13.7335,20.0338,23.3958,22.9429,13.5,7.627,13.39,,13.39,7.8092,0.8103,96.41
