SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
37,C,Untreated,-1.07,0.995,,5.8764,3.9261,66.5,0.303,6.74,22.2574,18.1975,21.2464,21.0861,5.3,7.729,3.782,,3.782,4.5754,0.1691,36.74
38,C,Native,-0.83,1.0021,,7.3708,4.5408,80,0.248,7.256,29.2679,21.0137,24.2127,24.1121,3.1,7.81,3.787,,3.787,5.3375,0.1106,34.44
39,C,Native,-0.77,1.0025,,9.5496,6.2922,61.6,0.196,5.635,28.691,21.1676,24.6886,24.585,2.9,7.684,4.166,,4.166,3.884,0.0938,24.15
40,C,Treated,-0.16,0.9969,,7.2537,4.4158,83,0.285,6.82,23.9432,26.8051,30.1666,29.9941,5.1,7.86,2.308,,2.308,2.9713,0.0761,27.73
41,C,Native,0.25,0.9897,,7.842,4.1532,116.6,0.219,5.371,24.4769,19.8775,23.0231,22.8151,6.6,7.884,0.9241,,0.9241,2.3018,0.07,15.09
42,C,Native,-0.02,0.9921,,7.3225,3.2407,181.5,0.804,12.329,15.3323,20.4837,23.3919,22.9723,14.4,7.872,0.83,,0.83,5.5304,0.2287,21.92
43,C,Untreated,0.22,1.0017,,6.6804,2.1693,386.4,0.907,13.766,15.1819,21.254,24.2832,23.6866,19.7,7.651,1.028,,1.028,10.3732,0.1012,49.69
46,C,Native,-0.32,0.9871,,6.6906,4.1255,81.7,0.27,7.081,26.2489,21.5158,24.6762,24.5159,5.1,8.095,0.5941,,0.5941,3.8478,0.0647,25.69
47,C,Native,-0.09,0.9839,,7.5468,4.5392,84.6,0.432,9.13,21.1431,19.2251,22.2574,22.0073,8.2,7.715,1.995,,1.995,3.145,0.0679,17.8
48,C,Native,-0.78,0.975,,4.0098,3.3132,29.8,0.222,6.535,29.4321,21.1016,24.6567,24.4681,5.3,7.957,1.681,,1.681,1.5801,4.8483,29.01
49,C,Treated,-0.64,0.9804,,5.3738,4.23,35.2,0.147,5.707,38.8558,18.8823,21.9186,21.8081,3.6,7.931,1.07,,1.07,1.4963,0.258,18.86
50,C,Untreated,-0.31,0.9805,,6.5367,4.8323,44.2,0.287,5.116,17.8162,20.0628,23.1403,22.9964,4.7,8.093,0.4835,,0.4835,2.4443,3.3148,18.1
51,C,Treated,-0.15,0.9767,,6.092,2.8923,167,0.882,14.176,16.0784,20.0337,23.0647,22.6227,14.6,7.947,1.345,,1.345,7.6461,0.128,20.88
52,C,Treated,-0.02,0.976,,6.0118,1.7975,513,0.834,15.996,19.1853,21.5011,24.5397,24.055,16,7.926,1.65,,1.65,7.5319,0.1348,47.96
53,C,Untreated,-0.5,0.9897,,6.7114,3.9918,90.6,0.687,10.222,14.8795,22.1225,25.1106,24.7851,10.9,8.221,2.492,,2.492,2.4495,6.6018,43.67
54,C,Native,-0.28,0.9883,,8.2436,5.7425,52.6,0.078,2.744,35.3422,21.6423,24.6719,24.6235,1.6,8.804,2.973,,2.973,1.254,0.0472,5.7
55,C,Native,-0.5,0.9889,,5.472,4.5368,26.4,0.072,2.219,30.9826,19.0612,22.0272,21.9858,1.4,7.947,0.6832,,0.6832,1.5405,0.2404,2.23
56,C,Untreated,0.26,0.9692,,9.1328,6.1154,58.6,0.13,4.23,32.53846,18.2273,21.3699,21.2842,2.7,8.307,5.831,,5.831,1.7448,0.0661,11.98
57,C,Treated,0.12,1.0148,,6.3713,1.728,651.1,1.22,17.6,14.42623,20.8841,23.9701,23.0345,30.3,7.882,3.935,,3.935,12.8552,0.1222,53.05
58,C,Native,0.28,0.9933,,10.4491,6.0543,86.8,0.18,5.91,32.83333,22.1229,25.5028,25.3979,3.1,8.02,2.86,,2.86,4.0967,0.071,24.58
59,C,Treated,-0.38,0.9924,,6.2317,5.7365,10.4,0.14,1.74,12.42857,20.4837,23.8159,23.7473,2.1,8.341,1.304,,1.304,1.0229,1.9705,14.74
63,C,Untreated,0.24,0.9933,,8.5352,4.0725,144.9,0.54,8.58,15.88889,21.6428,24.7726,24.4313,10.9,7.97,1.868,,1.868,4.8657,0.1005,34.03
64,C,Native,0.16,1.0124,,8.6576,5.4826,71,0.32,6.62,20.6875,21.2552,24.0969,23.8372,9.1,8.039,9.753,,9.753,4.5344,0.0933,29.47
65,C,Treated,-0.6,1.0002,,6.966,4.815,56.4,0.21,4.84,23.04762,19.8771,23.3528,23.1975,4.5,8.664,1.227,,1.227,3.4255,0.0671,86.39
66,C,Native,-0.64,0.9891,,7.0043,3.9072,106.1,0.34,6.93,20.38235,19.2268,22.0398,21.8223,7.7,8.281,1.91,,1.91,2.9446,0.0771,30.6
67,C,Untreated,-0.84,0.9874,,5.2575,2.9463,118,0.31,6.1,19.67742,18.2271,21.9668,21.7404,6.1,8.408,3.143,,3.143,3.0873,0.0628,35.68
68,C,Native,-0.46,0.9912,,6.8224,4.1877,82.4,0.44,7.51,17.06818,21.5008,24.4147,24.1437,9.3,8.109,1.703,,1.703,4.1357,0.1026,37.92
69,C,Native,-0.26,0.9896,,8.7721,5.5756,69.7,0.37,6.87,18.56757,21.5163,24.5694,24.3089,8.5,8.168,2.131,,2.131,3.0647,0.0927,33.63
70,C,Treated,-0.59,1.0078,,5.5522,4.5688,27.6,0.21,3.59,17.09524,21.1015,24.3508,24.2073,4.4,7.82,1.456,,1.456,1.9521,1.1197,33.13
71,C,Native,-0.19,1.0123,,5.6142,3.0865,121.9,0.26,6.05,23.26923,20.8845,23.8921,23.6899,6.7,7.848,1.231,,1.231,4.0298,0.0798,16.03
72,C,Treated,-0.5,0.9954,,9.0752,6.8302,38.5,0.72,4.26,5.916667,20.0336,23.0432,22.8879,5.2,7.762,2.289,,2.289,2.465,0.1056,31.85
73,C,Native,-1.37,0.995,,3.0601,1.992,107.1,1.18,16.5,13.98305,26.8054,29.9109,29.1562,24.3,7.836,3.007,1:10,15.035,7.078,8.6689,104.04
74,C,Treated,-0.71,0.9851,,4.4135,3.1861,55.8,0.74,11.7,15.81081,18.8832,21.9469,21.5208,13.9,7.62,2.966,,2.966,4.4614,5.3476,89.15
75,C,Untreated,-0.51,0.9852,,7.3044,5.4006,43.1,0.13,3.61,27.76923,20.0631,23.1512,23.0013,4.9,7.705,2.144,,2.144,0.9199,0.8378,23.23
76,C,Treated,-1.08,0.9783,,4.135,3.8371,10.4,0.14,4.64,33.14286,21.1604,24.2162,24.1324,2.7,7.945,1.102,,1.102,0.7065,0.3745,13.2
77,C,Treated,-1.11,0.9848,,4.535,4.2131,10,0.12,3.73,31.08333,21.1675,24.173,24.0646,3.6,8.155,0.3455,,0.3455,0.8734,3.4187,20.41
78,C,Native,-0.33,0.9926,,5.8314,2.0919,340.2,0.84,19.2,22.85714,27.4551,30.4694,29.9232,18.1,8.491,2.5,1:10,12.5,0.8188,0.0934,32.34
79,C,Native,-0.88,0.9884,,6.9473,5.4077,34.8,0.07,4.32,61.71429,21.6426,24.9725,24.9188,1.6,8.353,2.204,,2.204,1.2348,0.0525,11.71
80,C,Treated,-1.06,0.9873,,6.2083,4.2438,60.3,0.25,6.95,27.8,22.1225,25.1339,24.9745,5.3,7.863,5.929,,5.929,1.6865,6.1002,30.79
